233.16,44.451,-124.66,11.54,32.65,20.59,0.523,8.29E-03,5.67E-03,5.10E-03,-8.054,1.31
233.19,44.45,-124.65,11.32,32.67,20.61,0.491,8.04E-03,5.48E-03,4.93E-03,-10.193,1.26
233.19,44.443,-124.65,11.25,32.70,18.69,0.473,8.08E-03,5.51E-03,4.96E-03,-10.284,1.24
233.19,44.441,-124.65,11.22,32.71,19.26,0.463,8.05E-03,5.49E-03,4.96E-03,-10.362,1.24
233.21,44.438,-124.67,11.33,32.69,20.37,0.491,8.25E-03,5.59E-03,5.04E-03,-9.285,1.21
233.22,44.441,-124.67,11.37,32.68,20.67,0.493,8.16E-03,5.55E-03,5.00E-03,-9.000,1.21
233.23,44.442,-124.67,11.34,32.67,20.18,0.483,8.04E-03,5.48E-03,4.93E-03,-9.243,1.16
233.24,44.435,-124.67,11.24,32.70,18.01,0.466,8.04E-03,5.46E-03,4.93E-03,-9.940,1.08
233.25,44.432,-124.67,11.24,32.71,17.80,0.465,8.06E-03,5.46E-03,4.94E-03,-9.899,1.08
233.26,44.432,-124.67,11.26,32.71,17.06,0.463,8.05E-03,5.45E-03,4.94E-03,-9.913,1.10
233.27,44.432,-124.68,11.28,32.70,17.03,0.470,8.03E-03,5.46E-03,4.94E-03,-9.749,1.10
233.28,44.435,-124.68,11.31,32.69,18.45,0.478,7.99E-03,5.42E-03,4.89E-03,-9.511,1.14
233.29,44.438,-124.68,11.35,32.67,18.98,0.481,7.91E-03,5.36E-03,4.83E-03,-9.326,1.15
233.31,44.439,-124.68,11.38,32.66,17.03,0.490,7.90E-03,5.34E-03,4.84E-03,-8.945,1.15
233.31,44.439,-124.68,11.38,32.66,16.16,0.487,7.85E-03,5.33E-03,4.83E-03,-9.027,1.17
233.33,44.435,-124.68,11.34,32.67,15.78,0.476,7.90E-03,5.35E-03,4.85E-03,-9.392,1.17
233.33,44.432,-124.68,11.27,32.70,15.13,0.468,7.99E-03,5.40E-03,4.91E-03,-9.717,1.10
233.35,44.433,-124.68,11.31,32.69,15.71,0.477,7.87E-03,5.35E-03,4.85E-03,-9.263,1.15
233.35,44.435,-124.68,11.37,32.66,14.28,0.484,7.78E-03,5.29E-03,4.79E-03,-8.962,1.16
233.36,44.433,-124.68,11.36,32.67,11.61,0.480,7.87E-03,5.34E-03,4.83E-03,-9.171,1.16
233.38,44.431,-124.69,11.30,32.70,11.83,0.470,7.89E-03,5.34E-03,4.85E-03,-9.948,1.18
233.38,44.434,-124.69,11.38,32.67,16.59,0.500,7.72E-03,5.24E-03,4.74E-03,NaN,1.16
233.39,44.435,-124.69,11.40,32.66,14.45,0.492,7.90E-03,5.35E-03,4.85E-03,NaN,1.15
233.41,44.432,-124.69,11.31,32.70,12.80,0.486,8.07E-03,5.47E-03,4.96E-03,NaN,1.23
233.42,44.436,-124.69,11.42,32.66,14.09,0.502,7.81E-03,5.32E-03,4.79E-03,NaN,1.33
